date_gmt2,kickoff_gmt2,league,division,home_team,away_team,b_direction,b_probability,bayes_direction,bayes_probability,model_probability_gap_pp,model_direction_agreement,reference_odds,reference_source,reference_quote_time,reference_url,min_odds_ev1pct,ev_at_reference,raw_kelly,user_min_odds,user_odds_floor_pass,historical_core_raw,core_user_window,epl_laliga_extension,r8_extension_overlap,live_recheck_low,live_recheck_high,live_recheck_window_exists,required_score,score_available,lineup_confirmed,formal_approved,formal_stake_yuan,pre_score_gate_fraction,pre_score_gate_cap_yuan,asian_m125_observed_odds,asian_m125_min_odds_ev7_5pct,asian_m125_observation_pass,either_half_observed_odds,either_half_observation_pass,status,reason
2026-09-14,2026-09-14 18:30,意甲,I1,Como,Parma Calcio 1913,H,0.7590635084425935,H,0.6271296445917552,13.193386385083826,True,1.22,Mozzart,2026-09-13,https://www.mozzartsport.co.ke/football/news/betting-guide-inter-milan-vs-udinese-match-preview-team-news-and-prediction/68940,1.330586951903754,-0.07394251970003596,0.0,1.5,False,False,False,False,False,1.5,1.5,True,84,False,False,False,0.0,0.0,0.0,,1.824768303480153,False,,False,拒绝,低于用户当前1.50最低赔率要求
2026-09-14,2026-09-14 18:30,意甲,I1,Torino,Roma,A,0.6592435027569257,A,0.5438507446730446,11.539275808388105,True,1.55,Mozzart,2026-09-13,https://www.mozzartsport.co.ke/football/news/betting-guide-inter-milan-vs-udinese-match-preview-team-news-and-prediction/68940,1.532059088601142,0.021827429273234777,0.03968623504224505,1.5,True,False,False,False,False,,,False,84,False,False,False,0.0,0.0,0.0,,2.153733660931218,False,,False,拒绝,锁定正式规则与完整扩展均不授权客胜/平局
2026-09-14,2026-09-14 20:45,意甲,I1,Inter,Udinese,H,0.7614563668676937,H,0.7324974200231502,2.8958946844543476,True,1.2398081534772183,BetMGM via Sportsgambler,2026-09-13 04:06 source update,https://www.sportsgambler.com/betting-tips/football/inter-milan-vs-udinese-prediction-lineups-odds-2026-09-14/,1.3264056142241067,-0.05594018784029342,0.0,1.5,False,False,False,False,False,1.5,1.5,True,84,False,False,False,0.0,0.0,0.0,,1.7387001034299572,False,,False,拒绝,低于用户当前1.50最低赔率要求
2026-09-14,2026-09-14 21:00,英超,E0,Leeds,Newcastle,H,0.4661666183037157,H,0.4131867976981401,5.29798206055756,True,,NA,NA,NA,2.1666073037901814,,,1.5,False,False,False,False,False,2.1666073037901814,2.0,False,88,False,False,False,0.0,0.0,0.0,,4.2267483122272544,False,,False,资料不足,未找到可直接核验的90分钟模型方向报价
2026-09-14,2026-09-14 21:00,西甲,SP1,Villarreal,Betis,H,0.5823230898598105,H,0.5471538594896511,3.51692303701594,True,1.9523809523809523,DraftKings via ESPN,2026-09-14 direct refresh,https://www.espn.com/soccer/odds/_/gameId/401882877,1.7344323410619853,0.1369165087739157,0.1437623342126115,1.5,True,False,False,True,False,1.7344323410619853,2.0,True,84,False,False,False,0.0,0.05,541.813,,2.5836853106555058,False,,False,条件观察,价格与模型门槛通过，但总分字段不可复现且临场首发未确认
2026-09-15,2026-09-15 19:00,西甲,SP1,Vallecano,Espanyol,H,0.5244094982218943,H,0.4544650511651353,6.9944447056759005,True,2.05,DraftKings via ESPN,2026-09-14 direct refresh,https://www.espn.com/soccer/odds/_/gameId/401882868,1.925975794535737,0.0750394713548832,0.07146616319512687,1.5,True,False,False,False,False,1.925975794535737,2.0,True,84,False,False,False,0.0,0.0,0.0,,3.30131176236821,False,,False,价格越界,公开价高于英超/西甲主胜扩展2.00上限
2026-09-15,2026-09-15 20:00,西甲,SP1,Alaves,Valencia,H,0.3941837917379084,H,0.5209437969891353,12.676000525122689,True,1.971,Oddsmath,2026-09-13 21:55 GMT+2,https://www.oddsmath.com/football/matches/2026-09-15/,2.5622565442050087,-0.2230637464845825,0.0,1.5,True,False,False,False,False,2.5622565442050087,2.0,False,84,False,False,False,0.0,0.0,0.0,,5.488859363919646,False,,False,拒绝,按参考价计算的B版EV低于1%
2026-09-15,2026-09-15 21:30,西甲,SP1,Elche,Real Madrid,A,0.7177514511990225,A,0.6068578148999965,11.089363629902603,True,1.301,Oddsmath,2026-09-13 21:55 GMT+2,https://www.oddsmath.com/football/matches/2026-09-15/,1.407172355155491,-0.06620536199007176,0.0,1.5,False,False,False,False,False,,,False,84,False,False,False,0.0,0.0,0.0,,1.877180311541155,False,,False,拒绝,低于用户当前1.50最低赔率要求
2026-09-16,2026-09-16 19:00,西甲,SP1,Ath Madrid,Osasuna,H,0.4774526738448709,H,0.4803149012935944,0.2862227448723498,True,1.505,Oddsmath,2026-09-13 21:55 GMT+2,https://www.oddsmath.com/football/matches/2026-09-16/,2.1153929076710103,-0.2814337258634694,0.0,1.5,True,False,False,False,False,2.1153929076710103,2.0,False,84,False,False,False,0.0,0.0,0.0,,3.7919469951374105,False,,False,拒绝,按参考价计算的B版EV低于1%
2026-09-16,2026-09-16 19:00,西甲,SP1,La Coruna,Sevilla,H,0.5033340081388892,H,0.4506317769722352,5.270223116665395,True,2.561,Oddsmath,2026-09-13 21:55 GMT+2,https://www.oddsmath.com/football/matches/2026-09-16/,2.0066198263346875,0.2890383948436952,0.18516232853535888,1.5,True,False,False,False,False,2.0066198263346875,2.0,False,84,False,False,False,0.0,0.0,0.0,,3.6989646011023116,False,,False,价格越界,公开价高于英超/西甲主胜扩展2.00上限
2026-09-16,2026-09-16 21:30,西甲,SP1,Barcelona,Racing Santander,H,0.7467226886253191,H,0.7175734563033763,2.9149232321942775,True,1.082,Oddsmath,2026-09-13 21:55 GMT+2,https://www.oddsmath.com/football/matches/2026-09-16/,1.3525770883691266,-0.19204605090740468,0.0,1.5,False,False,False,False,False,1.5,2.0,True,84,False,False,False,0.0,0.0,0.0,,1.8284031319097325,False,,False,拒绝,低于用户当前1.50最低赔率要求
2026-09-16,2026-09-16 21:30,西甲,SP1,Levante,Athletic Club,H,0.6312521362708554,H,0.4419424343537997,18.93097019170557,True,3.475,Oddsmath,2026-09-13 21:55 GMT+2,https://www.oddsmath.com/football/matches/2026-09-16/,1.5999945853119977,1.1936011735412224,0.4822631004206959,1.5,True,False,False,False,False,1.5999945853119977,2.0,True,84,False,False,False,0.0,0.0,0.0,,2.287654777368896,False,,False,价格越界,公开价高于英超/西甲主胜扩展2.00上限
