rank,date,kickoff_gmt2,league,home_team,away_team,home_odds,draw_odds,away_odds,source,selection,venue,selection_odds,selection_elo,opponent_elo,adjusted_elo_gap,elo_expectancy,no_vig_market_probability,strength_points_45,market_points_30,price_points_15,alignment_points_10,base_score_100,matchday2_uncertainty_penalty,ranking_score_100,user_min_odds_pass,formal_strategy_eligible,formal_status
1,2026-09-27,18:00,A,Denmark,Wales,1.68,3.7,4.9,user_screenshot,Denmark,H,1.68,1869,1682,252.0,0.8100951586047567,0.5565105285775677,39.86937753489729,17.315472044811287,15.0,10.0,82.18484957970858,5.0,77.18484957970858,True,False,观察：欧国联没有冻结验证模型与可复现评分链
2,2026-09-25,20:45,A,Turkey,France,5.25,4.5,1.5,user_screenshot,France,A,1.5,2070,1852,153.0,0.7069752948085409,0.6176470588235294,26.61110933252669,22.058823529411768,15.0,10.0,73.66993286193846,0.0,73.66993286193846,True,False,观察：欧国联没有冻结验证模型与可复现评分链
3,2026-09-25,20:45,B,Poland,Bosnia and Herzegovina,1.57,3.8,5.0,user_screenshot,Poland,H,1.57,1710,1605,170.0,0.726830072276731,0.5789858605558265,29.163866435579703,19.05924780174516,15.0,10.0,73.22311423732486,0.0,73.22311423732486,True,False,观察：欧国联没有冻结验证模型与可复现评分链
4,2026-09-25,20:45,B,Sweden,Romania,1.53,4.2,5.25,user_screenshot,Sweden,H,1.53,1731,1639,157.0,0.7117225243427553,0.6039689387402934,27.22146741549711,20.99759007467794,15.0,10.0,73.21905749017505,0.0,73.21905749017505,True,False,观察：欧国联没有冻结验证模型与可复现评分链
5,2026-09-25,18:00,C,Armenia,Latvia,1.67,3.7,4.75,user_screenshot,Armenia,H,1.67,1373,1288,150.0,0.7033850034718286,0.5546526123112367,26.149500446377967,17.17132336897527,15.0,10.0,68.32082381535324,0.0,68.32082381535324,True,False,观察：欧国联没有冻结验证模型与可复现评分链
6,2026-09-24,20:45,A,Norway,Denmark,1.75,3.75,4.33,user_screenshot,Norway,H,1.75,1951,1869,147.0,0.6997694032620582,0.5345239074973253,25.684637562264623,15.609613512723513,15.0,10.0,66.29425107498814,0.0,66.29425107498814,True,False,观察：欧国联没有冻结验证模型与可复现评分链
7,2026-09-27,18:00,A,Serbia,Netherlands,4.3,3.8,1.74,user_screenshot,Netherlands,A,1.74,1971,1734,172.0,0.7291099628977525,0.5368995202733785,29.456995229711044,15.79392829707247,15.0,10.0,70.25092352678351,5.0,65.25092352678351,True,False,观察：欧国联没有冻结验证模型与可复现评分链
8,2026-09-25,18:00,B,Georgia,Northern Ireland,1.8,3.5,4.0,user_screenshot,Georgia,H,1.8,1654,1605,114.0,0.6584145209169125,0.509090909090909,20.3675812607459,13.636363636363635,15.0,10.0,59.003944897109534,0.0,59.003944897109534,True,False,观察：欧国联没有冻结验证模型与可复现评分链
9,2026-09-26,20:45,A,Czech Republic,Croatia,3.1,3.5,2.15,user_screenshot,Croatia,A,2.15,1882,1680,137.0,0.6875382482123418,0.4333067092651757,24.112060484443944,7.756555029194669,10.0,10.0,51.868615513638616,0.0,51.868615513638616,True,False,观察：欧国联没有冻结验证模型与可复现评分链
10,2026-09-26,18:00,C,Bulgaria,Luxembourg,1.98,3.15,3.9,user_screenshot,Bulgaria,H,1.98,1458,1450,73.0,0.6035363185261781,0.46810699588477367,13.31181238193718,10.456577266922096,15.0,10.0,48.76838964885928,0.0,48.76838964885928,True,False,观察：欧国联没有冻结验证模型与可复现评分链
11,2026-09-24,20:45,A,Netherlands,Germany,2.25,3.6,2.8,user_screenshot,Netherlands,H,2.25,1971,1908,128.0,0.676301669492737,0.4117647058823529,22.667357506209036,6.085192697768763,10.0,10.0,48.7525502039778,0.0,48.7525502039778,True,False,观察：欧国联没有冻结验证模型与可复现评分链
12,2026-09-28,20:45,B,Romania,Bosnia and Herzegovina,1.96,3.5,3.5,user_screenshot,Romania,H,1.96,1639,1605,99.0,0.6387377491117249,0.4716981132075471,17.837710600078914,10.735198438516589,15.0,10.0,53.572909038595505,5.0,48.572909038595505,True,False,观察：欧国联没有冻结验证模型与可复现评分链
13,2026-09-28,20:45,B,Sweden,Poland,1.91,3.6,3.6,user_screenshot,Sweden,H,1.91,1731,1710,86.0,0.6212967231224545,0.4851752021563342,15.595292972887012,11.780834650060413,15.0,10.0,52.37612762294742,5.0,47.37612762294742,True,False,观察：欧国联没有冻结验证模型与可复现评分链
14,2026-09-24,18:00,D,Andorra,Malta,3.6,2.65,2.35,user_screenshot,Malta,A,2.35,1255,1080,110.0,0.6532171672188698,0.3937674130636673,19.699350070997546,4.688851013560396,10.0,10.0,44.38820108455794,0.0,44.38820108455794,True,False,观察：欧国联没有冻结验证模型与可复现评分链
15,2026-09-26,20:45,A,England,Spain,2.75,3.3,2.5,user_screenshot,Spain,A,2.5,2259,2125,69.0,0.5980137657693436,0.37499999999999994,12.601769884629896,3.2327586206896526,10.0,10.0,35.83452850531955,0.0,35.83452850531955,True,False,观察：欧国联没有冻结验证模型与可复现评分链
16,2026-09-28,20:45,A,Belgium,France,3.25,3.65,2.05,user_screenshot,France,A,2.05,2070,1948,57.0,0.581301478368915,0.4561184273767183,10.4530472188605,9.52642971026263,10.0,10.0,39.97947692912313,5.0,34.97947692912313,True,False,观察：欧国联没有冻结验证模型与可复现评分链
17,2026-09-24,20:45,B,Kosovo,Ireland,2.55,3.1,2.63,user_screenshot,Kosovo,H,2.55,1714,1699,80.0,0.6131368201531431,0.3581453579037536,14.546162591118396,1.925070871842955,5.0,10.0,31.47123346296135,0.0,31.47123346296135,True,False,观察：欧国联没有冻结验证模型与可复现评分链
18,2026-09-28,18:00,B,Georgia,Ukraine,2.82,3.3,2.37,user_screenshot,Ukraine,A,2.37,1780,1654,61.0,0.5868950233791,0.3908376171756879,11.172217291598578,4.461539263630957,10.0,10.0,35.63375655522954,5.0,30.63375655522954,True,False,观察：欧国联没有冻结验证模型与可复现评分链
19,2026-09-24,20:45,A,Serbia,Greece,2.6,3.3,2.6,user_screenshot,Serbia,H,2.6,1734,1744,55.0,0.5784967523447427,0.358695652173913,10.09243958718121,1.9677661169415295,5.0,10.0,27.060205704122737,0.0,27.060205704122737,True,False,观察：欧国联没有冻结验证模型与可复现评分链
20,2026-09-26,18:00,C,Faroe Islands,Kazakhstan,2.5,3.05,2.82,user_screenshot,Faroe Islands,H,2.5,1386,1428,23.0,0.5330513938844411,0.3695222546829352,4.249464927999572,2.80776113919325,10.0,10.0,27.057226067192822,0.0,27.057226067192822,True,False,观察：欧国联没有冻结验证模型与可复现评分链
21,2026-09-25,20:45,A,Italy,Belgium,2.15,3.5,3.1,user_screenshot,Italy,H,2.15,1869,1948,-14.0,0.47986327796418354,0.4333067092651757,0.0,7.756555029194669,10.0,0.0,17.75655502919467,0.0,17.75655502919467,True,False,观察：欧国联没有冻结验证模型与可复现评分链
22,2026-09-26,15:00,B,Slovenia,Scotland,2.55,3.0,2.8,user_screenshot,Slovenia,H,2.55,1682,1745,2.0,0.502878199574811,0.36222509702457956,0.37005423104712176,2.2416023553553117,5.0,10.0,17.611656586402432,0.0,17.611656586402432,True,False,观察：欧国联没有冻结验证模型与可复现评分链
23,2026-09-25,20:45,B,Hungary,Ukraine,2.15,3.2,3.2,user_screenshot,Hungary,H,2.15,1710,1780,-5.0,0.49280491829094863,0.4266666666666667,0.0,7.241379310344831,10.0,0.0,17.241379310344833,0.0,17.241379310344833,True,False,观察：欧国联没有冻结验证模型与可复现评分链
24,2026-09-27,15:00,D,Lithuania,Azerbaijan,2.6,2.95,2.7,user_screenshot,Lithuania,H,2.6,1279,1322,22.0,0.5316182978281073,0.35157801809755024,4.065209720756656,1.4155358868788992,5.0,10.0,20.480745607635555,5.0,15.480745607635555,True,False,观察：欧国联没有冻结验证模型与可复现评分链
25,2026-09-27,20:45,A,Norway,Portugal,2.85,3.6,2.28,user_screenshot,Portugal,A,2.28,1995,1951,-21.0,0.469815319996098,0.410958904109589,0.0,6.022673594709494,10.0,0.0,16.022673594709495,5.0,11.022673594709495,True,False,观察：欧国联没有冻结验证模型与可复现评分链
26,2026-09-27,20:45,B,Israel,Ireland,2.95,3.35,2.28,user_screenshot,Ireland,A,2.28,1699,1647,-13.0,0.48130022207044143,0.4075845998391521,0.0,5.760874125451456,10.0,0.0,15.760874125451455,5.0,10.760874125451455,True,False,观察：欧国联没有冻结验证模型与可复现评分链
27,2026-09-28,20:45,A,Turkey,Italy,2.9,3.35,2.34,user_screenshot,Italy,A,2.34,1869,1852,-48.0,0.43135860811633236,0.3991372226787182,0.0,5.105474173348828,10.0,0.0,15.105474173348828,5.0,10.105474173348828,True,False,观察：欧国联没有冻结验证模型与可复现评分链
28,2026-09-28,20:45,B,Northern Ireland,Hungary,2.55,3.05,2.77,user_screenshot,Northern Ireland,H,2.55,1605,1710,-40.0,0.44268836623770724,0.3627600420790485,0.0,2.283106713029626,5.0,0.0,7.2831067130296265,5.0,2.2831067130296265,True,False,观察：欧国联没有冻结验证模型与可复现评分链
29,2026-09-27,18:00,D,Gibraltar,Andorra,2.7,2.7,2.75,user_screenshot,Gibraltar,H,2.7,1011,1080,-4.0,0.49424379158885506,0.3353658536585366,0.0,0.15769554247266912,5.0,0.0,5.157695542472669,5.0,0.15769554247266893,True,False,观察：欧国联没有冻结验证模型与可复现评分链
30,2026-09-26,20:45,C,Slovakia,Moldova,1.3,5.0,10.0,user_screenshot,Slovakia,H,1.3,1667,1270,462.0,0.934593240137214,0.7194244604316546,45.0,29.955346067973206,5.0,10.0,89.95534606797321,0.0,89.95534606797321,False,False,观察：欧国联没有冻结验证模型与可复现评分链
31,2026-09-26,18:00,C,Iceland,Estonia,1.33,4.45,9.6,user_screenshot,Iceland,H,1.33,1568,1360,273.0,0.8279993802611698,0.6956918241554233,42.17134889072184,28.114020839644915,5.0,10.0,85.28536973036675,0.0,85.28536973036675,False,False,观察：欧国联没有冻结验证模型与可复现评分链
32,2026-09-24,20:45,A,Portugal,Wales,1.22,5.75,13.0,user_screenshot,Portugal,H,1.22,1995,1682,378.0,0.8980682790110263,0.765685019206146,45.0,30.0,0.0,10.0,85.0,0.0,85.0,False,False,观察：欧国联没有冻结验证模型与可复现评分链
33,2026-09-24,20:45,D,Liechtenstein,Lithuania,10.0,5.25,1.25,user_screenshot,Lithuania,A,1.25,1279,895,319.0,0.8625119039913111,0.7336244541484715,45.0,30.0,0.0,10.0,85.0,0.0,85.0,False,False,观察：欧国联没有冻结验证模型与可复现评分链
34,2026-09-26,18:00,C,San Marino,Finland,28.0,8.75,1.07,user_screenshot,Finland,A,1.07,1536,825,646.0,0.9763087922871821,0.8616975441619992,45.0,30.0,0.0,10.0,85.0,0.0,85.0,False,False,观察：欧国联没有冻结验证模型与可复现评分链
35,2026-09-26,20:45,B,North Macedonia,Switzerland,7.0,4.75,1.36,user_screenshot,Switzerland,A,1.36,1928,1589,274.0,0.8288176477542757,0.6754011781434085,42.27655471126402,26.53974658009204,5.0,10.0,83.81630129135606,0.0,83.81630129135606,False,False,观察：欧国联没有冻结验证模型与可复现评分链
36,2026-09-24,20:45,B,Austria,Israel,1.38,4.5,7.0,user_screenshot,Austria,H,1.38,1821,1647,239.0,0.7983147441549775,0.6649778340721976,38.35475281992568,25.731038850429123,5.0,10.0,79.08579167035481,0.0,79.08579167035481,False,False,观察：欧国联没有冻结验证模型与可复现评分链
37,2026-09-25,20:45,C,Montenegro,Cyprus,1.47,3.95,6.9,user_screenshot,Montenegro,H,1.47,1461,1314,212.0,0.7721286734685839,0.6308370655834462,34.98797230310365,23.08218612285359,5.0,10.0,73.07015842595725,0.0,73.07015842595725,False,False,观察：欧国联没有冻结验证模型与可复现评分链
38,2026-09-27,20:45,A,Germany,Greece,1.23,5.55,13.0,user_screenshot,Germany,H,1.23,1908,1744,229.0,0.7888870682101548,0.7597415930880889,37.14262305559133,30.0,0.0,10.0,77.14262305559133,5.0,72.14262305559133,False,False,观察：欧国联没有冻结验证模型与可复现评分链
39,2026-09-26,20:45,C,Albania,Belarus,1.4,4.25,7.7,user_screenshot,Albania,H,1.4,1616,1522,159.0,0.7140789025853503,0.6617126680820948,27.524430332402186,25.477707006369428,5.0,10.0,68.00213733877162,0.0,68.00213733877162,False,False,观察：欧国联没有冻结验证模型与可复现评分链
40,2026-09-27,18:00,B,Austria,Kosovo,1.44,4.35,6.4,user_screenshot,Austria,H,1.44,1821,1714,172.0,0.7291099628977525,0.6426592797783934,29.456995229711044,23.999426879358115,5.0,10.0,68.45642210906917,5.0,63.456422109069166,False,False,观察：欧国联没有冻结验证模型与可复现评分链
