date,kickoff_gmt2,home_team,away_team,quoted_selection,american_odds,decimal_odds,source,observed_at_gmt2,full_1x2_visible
2026-09-25,18:00,Armenia,Latvia,Armenia,-120,1.833333,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,18:00,Georgia,Northern Ireland,Georgia,-125,1.800000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,20:45,Hungary,Ukraine,Hungary,+125,2.250000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,20:45,Italy,Belgium,Italy,+120,2.200000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,20:45,Montenegro,Cyprus,Montenegro,-130,1.769231,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,20:45,Poland,Bosnia and Herzegovina,Poland,-175,1.571429,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,20:45,Sweden,Romania,Sweden,-245,1.408163,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-25,20:45,Turkey,France,France,-320,1.312500,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,15:00,Slovenia,Scotland,Slovenia,+150,2.500000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,18:00,Bulgaria,Luxembourg,Bulgaria,+125,2.250000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,18:00,Faroe Islands,Kazakhstan,Faroe Islands,+125,2.250000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,18:00,Iceland,Estonia,Iceland,-370,1.270270,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,18:00,San Marino,Finland,Finland,-1200,1.083333,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,20:45,Czech Republic,Croatia,Croatia,+110,2.100000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,20:45,England,Spain,Spain,+125,2.250000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,20:45,North Macedonia,Switzerland,Switzerland,-270,1.370370,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-26,20:45,Slovakia,Moldova,Slovakia,-500,1.200000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,15:00,Lithuania,Azerbaijan,Lithuania,+140,2.400000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,18:00,Austria,Kosovo,Austria,-195,1.512821,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,18:00,Denmark,Wales,Denmark,-220,1.454545,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,18:00,Serbia,Netherlands,Netherlands,-245,1.408163,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,20:45,Germany,Greece,Germany,-255,1.392157,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,20:45,Israel,Republic of Ireland,Republic of Ireland,+135,2.350000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-27,20:45,Norway,Portugal,Norway,+145,2.450000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-28,18:00,Georgia,Ukraine,Georgia,+150,2.500000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-28,20:45,Belgium,France,France,-130,1.769231,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-28,20:45,Northern Ireland,Hungary,Hungary,+120,2.200000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-28,20:45,Romania,Bosnia and Herzegovina,Romania,+110,2.100000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-28,20:45,Sweden,Poland,Sweden,-115,1.869565,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
2026-09-28,20:45,Turkey,Italy,Italy,+140,2.400000,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-25 11:02,false
