date,home_team,away_team,espn_time_et,espn_game_id,quoted_selection_code,american_odds,decimal_odds,full_1x2_visible_on_schedule,source,observed_at
2026-09-26,Slovenia,Scotland,9:00 AM,401861057,SVN,145.0,2.45,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,Bulgaria,Luxembourg,12:00 PM,401861061,BUL,130.0,2.3,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,Faroe Islands,Kazakhstan,12:00 PM,401861060,FRO,125.0,2.25,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,Iceland,Estonia,12:00 PM,401861058,ISL,-370.0,1.27027,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,San Marino,Finland,12:00 PM,401861059,FIN,-1400.0,1.071429,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,Albania,Belarus,2:45 PM,401861062,,,,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,Czechia,Croatia,2:45 PM,401861063,CRO,110.0,2.1,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,England,Spain,2:45 PM,401861066,ESP,110.0,2.1,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,North Macedonia,Switzerland,2:45 PM,401861065,SUI,-260.0,1.384615,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-26,Slovakia,Moldova,2:45 PM,401861064,SVK,-650.0,1.153846,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Lithuania,Azerbaijan,9:00 AM,401861067,LTU,145.0,2.45,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Austria,Kosovo,12:00 PM,401861071,AUT,-195.0,1.512821,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Denmark,Wales,12:00 PM,401861070,DEN,-225.0,1.444444,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Gibraltar,Andorra,12:00 PM,401861069,AND,130.0,2.3,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Serbia,Netherlands,12:00 PM,401861068,NED,-240.0,1.416667,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Germany,Greece,2:45 PM,401861074,GER,-255.0,1.392157,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
2026-09-27,Israel,Republic of Ireland,2:45 PM,401861072,IRL,135.0,2.35,False,https://www.espn.com/soccer/schedule/_/league/uefa.nations,2026-09-26 07:27 GMT+2
